0,0,0,0,-0.112705,-0.0822889,0.0678114,0,0,0,-0.0722093,-0.00811664,-0.0177006,0.746669,0.449093,-1.91577,0,-0.0165291,0.0394345,-0.0566466,0.0944225,0,-0.00870517,0.0312319,-0.0088434,-0.00504241,-0.00103557,0.000644529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403337,0.526092,0.917493,0.469459
0.016,0,0,0.24,-0.112705,-0.0822889,0.0678114,0,0,0,-0.0728745,-0.00809175,-0.0175949,0.749688,0.451282,-0.679854,0,-0.0287237,0.0139451,-0.0492757,0.0820169,0,-0.00872218,0.0312252,-0.00882062,-0.000149443,0.000302311,0.000228169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402473,0.526158,0.280198,0.542242
0.048,0,0,0.6,-0.113941,-0.0823878,0.066721,0,0,0,-0.0719172,-0.00814915,-0.0175313,0.767914,0.458247,1.64889,0,-0.0266241,0.00691079,-0.0399145,0.0669729,0,-0.00871433,0.0312619,-0.00879191,-0.00148451,-0.00289986,0.00190264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402113,0.525732,0.139503,0.679651
0.084,0,0,0.6,-0.111009,-0.08272,0.0649212,0,0,0,-0.0705436,-0.00867507,-0.0177411,0.759519,0.465958,1.98122,0,0.0719573,0.200271,-0.0394485,0.0643795,0,-0.00877633,0.0313433,-0.00886313,-0.0106952,0.00638946,0.000111661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407761,0.523428,0.13927,0.699248
0.116,0,0,0.6,-0.111009,-0.08272,0.0649212,0,0,0,-0.0650593,-0.00442717,0.0207814,0.743929,0.444577,2.0822,0,0.17272,2.77017,-0.037325,0.0625271,0,-0.00982773,0.0320019,-0.00879321,-0.122032,0.0789174,0.00363983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415188,0.534845,0.146617,0.7051
0.148,0,0,0.6,-0.109548,-0.0828327,0.0659575,0,0,0,-0.0594131,-0.0011701,0.115937,0.714023,0.425999,1.72306,0,0.210776,3.97572,-0.0368818,0.0618855,0,-0.0207887,0.0399448,-0.00840853,-0.31745,0.240001,0.0198548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425226,0.543608,0.170155,0.68375
0.184,0,0,0.6,-0.108693,-0.0826108,0.0734169,0,0,0,-0.0493607,0.00713724,0.280795,0.672829,0.385179,0.935405,0,0.292496,4.09346,-0.0357938,0.062592,0,-0.0293233,0.0482113,-0.00760832,-0.0954679,0.162406,0.0286842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441612,0.568961,0.237848,0.637015
0.216,0,0,0.6,-0.108693,-0.0826108,0.0734169,0,0,0,-0.0382666,0.0174124,0.409457,0.629809,0.336216,0.307204,0,0.335272,3.73671,-0.0331884,0.0622325,0,-0.0291963,0.0507785,-0.00711675,0.0519777,0.107684,0.0283188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459626,0.602791,0.344921,0.599672
0.248,0,0,0.6,-0.108064,-0.0821329,0.0842383,0,0,0,-0.0275257,0.0253293,0.502955,0.584006,0.294609,-0.227245,0,0.232018,2.40864,-0.030709,0.0609316,0,-0.0250176,0.0536205,-0.00606581,0.104697,0.0598584,0.0297446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479681,0.633646,0.551987,0.567872
0.284,0,0,0.6,-0.107138,-0.0814431,0.0967996,0,0,0,-0.0147134,0.0335731,0.583297,0.529529,0.251466,-0.646463,0,0.170319,1.57334,-0.0274192,0.0577852,0,-0.0236718,0.0548695,-0.00552052,0.035217,0.0621296,0.0279561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506378,0.670183,0.934884,0.54285
